,PROVINCIA_CODIGO,PROVINCIA_NOMBRE,CANTON_CODIGO,CANTON_NOMBRE
0,1.0,AZUAY,260.0,CUENCA
1,1.0,AZUAY,265.0,GUALACEO
2,1.0,AZUAY,270.0,GIRON
3,1.0,AZUAY,275.0,PAUTE
4,1.0,AZUAY,280.0,SIGSIG
5,1.0,AZUAY,285.0,STA.ISABEL
6,1.0,AZUAY,555.0,PUCARA
7,1.0,AZUAY,556.0,CAMILO PONCE ENRIQUEZ
8,1.0,AZUAY,780.0,ONA
9,1.0,AZUAY,855.0,SAN FERNANDO
10,1.0,AZUAY,885.0,NABON
11,1.0,AZUAY,915.0,CHORDELEG
12,1.0,AZUAY,955.0,SEVILLA DE ORO
13,1.0,AZUAY,960.0,EL PAN
14,1.0,AZUAY,990.0,GUACHAPALA
15,2.0,BOLIVAR,165.0,GUARANDA
16,2.0,BOLIVAR,170.0,CHIMBO
17,2.0,BOLIVAR,175.0,SAN MIGUEL
18,2.0,BOLIVAR,180.0,CHILLANES
19,2.0,BOLIVAR,185.0,ECHEANDIA
20,2.0,BOLIVAR,760.0,CALUMA
21,2.0,BOLIVAR,950.0,LAS NAVES
22,3.0,CANAR,235.0,AZOGUES
23,3.0,CANAR,240.0,CANAR
24,3.0,CANAR,241.0,SUSCAL
25,3.0,CANAR,245.0,BIBLIAN
26,3.0,CANAR,250.0,LA TRONCAL
27,3.0,CANAR,765.0,EL TAMBO
28,3.0,CANAR,905.0,DELEG
29,4.0,CARCHI,5.0,TULCAN
30,4.0,CARCHI,10.0,MONTUFAR
31,4.0,CARCHI,15.0,ESPEJO
32,4.0,CARCHI,20.0,MIRA
33,4.0,CARCHI,25.0,BOLIVAR
34,4.0,CARCHI,995.0,SAN PEDRO DE HUACA
35,5.0,COTOPAXI,100.0,LATACUNGA
36,5.0,COTOPAXI,105.0,PUJILI
37,5.0,COTOPAXI,110.0,SALCEDO
38,5.0,COTOPAXI,115.0,SAQUISILI
39,5.0,COTOPAXI,120.0,PANGUA
40,5.0,COTOPAXI,825.0,LA MANA
41,5.0,COTOPAXI,930.0,SIGCHOS
42,6.0,CHIMBORAZO,190.0,CHAMBO
43,6.0,CHIMBORAZO,195.0,RIOBAMBA
44,6.0,CHIMBORAZO,200.0,GUANO
45,6.0,CHIMBORAZO,205.0,COLTA
46,6.0,CHIMBORAZO,210.0,GUAMOTE
47,6.0,CHIMBORAZO,215.0,ALAUSI
48,6.0,CHIMBORAZO,220.0,CHUNCHI
49,6.0,CHIMBORAZO,225.0,PENIPE
50,6.0,CHIMBORAZO,830.0,PALLATANGA
51,6.0,CHIMBORAZO,900.0,CUMANDA
52,7.0,EL ORO,350.0,MACHALA
53,7.0,EL ORO,355.0,SANTA ROSA
54,7.0,EL ORO,360.0,ZARUMA
55,7.0,EL ORO,365.0,PASAJE
56,7.0,EL ORO,370.0,PINAS
57,7.0,EL ORO,375.0,ARENILLAS
58,7.0,EL ORO,380.0,EL GUABO
59,7.0,EL ORO,585.0,CHILLA
60,7.0,EL ORO,690.0,PORTOVELO
61,7.0,EL ORO,695.0,HUAQUILLAS
62,7.0,EL ORO,705.0,ATAHUALPA
63,7.0,EL ORO,755.0,LAS LAJAS
64,7.0,EL ORO,860.0,MARCABELI
65,7.0,EL ORO,875.0,BALSAS
66,8.0,ESMERALDAS,560.0,ESMERALDAS
67,8.0,ESMERALDAS,561.0,RIO VERDE
68,8.0,ESMERALDAS,565.0,ELOY ALFARO
69,8.0,ESMERALDAS,570.0,MUISNE
70,8.0,ESMERALDAS,575.0,QUININDE
71,8.0,ESMERALDAS,580.0,SAN LORENZO
72,8.0,ESMERALDAS,785.0,ATACAMES
73,9.0,GUAYAS,95.0,BALAO
74,9.0,GUAYAS,125.0,COLIMES
75,9.0,GUAYAS,385.0,EL EMPALME
76,9.0,GUAYAS,390.0,GUAYAQUIL
77,9.0,GUAYAS,395.0,YAGUACHI
78,9.0,GUAYAS,400.0,DAULE
79,9.0,GUAYAS,405.0,SALINAS
80,9.0,GUAYAS,410.0,SANTA ELENA
81,9.0,GUAYAS,415.0,BALZAR
82,9.0,GUAYAS,420.0,MILAGRO
83,9.0,GUAYAS,425.0,SAMBORONDON
84,9.0,GUAYAS,430.0,SALITRE
85,9.0,GUAYAS,435.0,NARANJAL
86,9.0,GUAYAS,505.0,EL TRIUNFO
87,9.0,GUAYAS,510.0,NARANJITO
88,9.0,GUAYAS,675.0,PALESTINA
89,9.0,GUAYAS,715.0,PEDRO CARBO
90,9.0,GUAYAS,735.0,PLAYAS
91,9.0,GUAYAS,790.0,SIMON BOLIVAR
92,9.0,GUAYAS,820.0,DURAN
93,9.0,GUAYAS,835.0,A.BAQUERIZO MORENO
94,9.0,GUAYAS,870.0,SANTA LUCIA
95,9.0,GUAYAS,890.0,CRNL MARCELINO MARIDUENAS
96,9.0,GUAYAS,920.0,LOMAS DE SARGENTILLO
97,9.0,GUAYAS,940.0,NOBOL-PIEDRAHITA
98,9.0,GUAYAS,965.0,LA LIBERTAD
99,9.0,GUAYAS,985.0,GRAL. A. ELIZALDE
100,9.0,GUAYAS,986.0,ISIDRO AYORA
101,10.0,IMBABURA,30.0,IBARRA
102,10.0,IMBABURA,35.0,OTAVALO
103,10.0,IMBABURA,40.0,COTACACHI
104,10.0,IMBABURA,45.0,ANTONIO ANTE
105,10.0,IMBABURA,50.0,PIMAMPIRO
106,10.0,IMBABURA,55.0,URCUQUI
107,11.0,LOJA,290.0,CATAMAYO
108,11.0,LOJA,295.0,ZAPOTILLO
109,11.0,LOJA,300.0,LOJA
110,11.0,LOJA,305.0,SARAGURO
111,11.0,LOJA,310.0,PALTAS
112,11.0,LOJA,311.0,OLMEDO
113,11.0,LOJA,315.0,CELICA
114,11.0,LOJA,320.0,CALVAS
115,11.0,LOJA,325.0,MACARA
116,11.0,LOJA,330.0,PUYANGO
117,11.0,LOJA,335.0,GONZANAMA
118,11.0,LOJA,340.0,ESPINDOLA
119,11.0,LOJA,345.0,SOZORANGA
120,11.0,LOJA,730.0,PINDAL
121,11.0,LOJA,740.0,QUILANGA
122,11.0,LOJA,815.0,CHAGUARPAMBA
123,12.0,LOS RIOS,515.0,BABAHOYO
124,12.0,LOS RIOS,516.0,VALENCIA
125,12.0,LOS RIOS,520.0,BABA
126,12.0,LOS RIOS,525.0,VINCES
127,12.0,LOS RIOS,530.0,PUEBLO VIEJO
128,12.0,LOS RIOS,535.0,URDANETA
129,12.0,LOS RIOS,540.0,QUEVEDO
130,12.0,LOS RIOS,545.0,VENTANAS
131,12.0,LOS RIOS,710.0,MONTALVO
132,12.0,LOS RIOS,750.0,PALENQUE
133,12.0,LOS RIOS,945.0,BUENA FE
134,12.0,LOS RIOS,946.0,MOCACHE
135,13.0,MANABI,230.0,FLAVIO ALFARO
136,13.0,MANABI,440.0,PORTOVIEJO
137,13.0,MANABI,445.0,MONTECRISTI
138,13.0,MANABI,446.0,JARAMIJO
139,13.0,MANABI,450.0,MANTA
140,13.0,MANABI,455.0,JIPIJAPA
141,13.0,MANABI,460.0,24 DE MAYO
142,13.0,MANABI,465.0,ROCAFUERTE
143,13.0,MANABI,470.0,SANTA ANA
144,13.0,MANABI,475.0,SUCRE
145,13.0,MANABI,476.0,JAMA
146,13.0,MANABI,477.0,SAN VICENTE
147,13.0,MANABI,480.0,CHONE
148,13.0,MANABI,485.0,BOLIVAR
149,13.0,MANABI,490.0,JUNIN
150,13.0,MANABI,495.0,PAJAN
151,13.0,MANABI,500.0,EL CARMEN
152,13.0,MANABI,550.0,TOSAGUA
153,13.0,MANABI,840.0,PICHINCHA
154,13.0,MANABI,910.0,PEDERNALES
155,13.0,MANABI,970.0,OLMEDO/PUCA
156,13.0,MANABI,975.0,PUERTO LOPEZ
157,14.0,MORONA SANTIAGO,590.0,MORONA
158,14.0,MORONA SANTIAGO,595.0,GUALAQUIZA
159,14.0,MORONA SANTIAGO,600.0,LIMON INDANZA
160,14.0,MORONA SANTIAGO,605.0,SANTIAGO
161,14.0,MORONA SANTIAGO,610.0,SUCUA
162,14.0,MORONA SANTIAGO,611.0,LOGRONO
163,14.0,MORONA SANTIAGO,615.0,PALORA
164,14.0,MORONA SANTIAGO,795.0,HUAMBOYA
165,14.0,MORONA SANTIAGO,796.0,PABLO SEXTO
166,14.0,MORONA SANTIAGO,925.0,SAN JUAN BOSCO
167,14.0,MORONA SANTIAGO,926.0,TAISHA
168,15.0,NAPO,255.0,EL CHACO
169,15.0,NAPO,620.0,TENA
170,15.0,NAPO,621.0,C.J.AROSEMENA TOLA
171,15.0,NAPO,635.0,QUIJOS
172,15.0,NAPO,700.0,ARCHIDONA
173,16.0,PASTAZA,680.0,PASTAZA
174,16.0,PASTAZA,685.0,MERA
175,16.0,PASTAZA,880.0,SANTA CLARA
176,16.0,PASTAZA,881.0,ARAJUNO
177,17.0,PICHINCHA,60.0,QUITO
178,17.0,PICHINCHA,65.0,CAYAMBE
179,17.0,PICHINCHA,70.0,MEJIA
180,17.0,PICHINCHA,75.0,PEDRO MONCAYO
181,17.0,PICHINCHA,80.0,RUMINAHUI
182,17.0,PICHINCHA,85.0,SANTO DOMINGO
183,17.0,PICHINCHA,770.0,SAN MIGUEL DE LOS BANCOS
184,17.0,PICHINCHA,895.0,PEDRO VICENTE MALDONADO
185,17.0,PICHINCHA,896.0,PUERTO QUITO
186,18.0,TUNGURAHUA,90.0,TISALEO
187,18.0,TUNGURAHUA,135.0,AMBATO
188,18.0,TUNGURAHUA,140.0,PELILEO
189,18.0,TUNGURAHUA,145.0,PILLARO
190,18.0,TUNGURAHUA,150.0,BANOS
191,18.0,TUNGURAHUA,155.0,PATATE
192,18.0,TUNGURAHUA,160.0,QUERO
193,18.0,TUNGURAHUA,845.0,CEVALLOS
194,18.0,TUNGURAHUA,850.0,MOCHA
195,19.0,ZAMORA CHINCHIPE,130.0,NANGARITZA
196,19.0,ZAMORA CHINCHIPE,655.0,ZAMORA
197,19.0,ZAMORA CHINCHIPE,660.0,CHINCHIPE
198,19.0,ZAMORA CHINCHIPE,661.0,PALANDA
199,19.0,ZAMORA CHINCHIPE,665.0,YACUAMBI
200,19.0,ZAMORA CHINCHIPE,670.0,YANZATZA
201,19.0,ZAMORA CHINCHIPE,775.0,EL PANGUI
202,19.0,ZAMORA CHINCHIPE,980.0,CENTINELA DEL CONDOR
203,20.0,GALAPAGOS,800.0,SAN CRISTOBAL
204,20.0,GALAPAGOS,805.0,SANTA CRUZ
205,20.0,GALAPAGOS,810.0,ISABELA
206,21.0,SUCUMBIOS,625.0,LAGO AGRIO
207,21.0,SUCUMBIOS,626.0,CUYABENO
208,21.0,SUCUMBIOS,640.0,SUCUMBIOS
209,21.0,SUCUMBIOS,650.0,PUTUMAYO
210,21.0,SUCUMBIOS,720.0,SHUSHUFINDI
211,21.0,SUCUMBIOS,745.0,CASCALES
212,21.0,SUCUMBIOS,865.0,GONZALO PIZARRO
213,22.0,ORELLANA,630.0,AGUARICO
214,22.0,ORELLANA,645.0,FCO.DE ORELLANA
215,22.0,ORELLANA,725.0,JOYA DE LOS SAGCHAS
216,22.0,ORELLANA,935.0,LORETO
